short-event-name;long-event-name;day;start;end;loc;id;web;category;start-ovr;end-ovr;event-participants
Eröffnung;VORMACHEN. NACHHALTEN. Wie nachhaltig ist die Lehre an der HU? | Keynote | Podiumsdiskussion;tuesday;15:30;17:30;Lichthof der Humboldt-Universität;event-opening;https://bolognalab.hu-berlin.de/de/gl/tdl/tag-der-lehre-25-nachhaltiges-lehren-und-lernen;event-1;-;-;Prof. Dr. Niels Pinkwart (VPL) | Prof. Dr. Christoph Wulf (Unesco) | Sara Schurmann (Netzwerk Klimajournalismus) | Wiebke Hampel (Klimaschutzmanagement) | Nachhaltigkeitsbüro
Festakt Preis für gute Lehre;Shortlist zum diesjährigen Preis | Preisverleihung an die Gewinner*in | Wrap-Up Improtheater;tuesday;17:30;20:00;Lichthof der Humboldt-Universität;event-Preisverleihung;https://bolognalab.hu-berlin.de/de/gl/tdl/tag-der-lehre-25-nachhaltiges-lehren-und-lernen;event-1;17:45;19:45;Prof. Dr. Niels Pinkwart | Shortlister*innen des diesjährigen Preises | Gewinner*innen des Preises | Improtheater
